Código de censo,Fecha,Censador,Acompañante 1,Acompañante 2,Piloto,Avioneta,Matrícula,Aeropuerto,Hora inicio,Hora fin,¿Track GPS?,Track,Foto,Visibilidad,Intensidad del viento,Dirección del viento,Condición atmosférica,Temperatura,¿Censo válido?,Observaciones
CA_20080314,2008-03-14,Censador 5,J*** **** ******,I**,H*** *********,Cessna 172,,-,10:30:00,12:00:00,,censos_aereos/tracks/CA_20080314.gpx,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20080422,2008-04-22,Censador 5,J*** **** ******,D**** ********,H*** *********,Cessna 172,,-,09:30:00,12:00:00,,censos_aereos/tracks/CA_20080422.gpx,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20080519,2008-05-19,Censador 5,J* ** ********,-,H*** *********,Cessna 172,,-,09:45:00,12:00:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20080612,2008-06-12,Censador 5,N**** *****,M******* ******,F******* *********,Cessna 172,,-,10:50:00,12:50:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20080711,2008-07-11,Censador 5,-,-,H*** *********,Cessna 172,,-,09:30:00,11:30:00,,censos_aereos/tracks/CA_20080711.gpx,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20080815,2008-08-15,Censador 5,J*** ****** ****** ****,-,H*** *********,Cessna 172,,-,09:30:00,11:30:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20080918,2008-09-18,Censador 5,J*** **** ******,A** **********,H*** *********,Cessna 172,,-,09:45:00,11:30:00,,censos_aereos/tracks/CA_20080918.gpx,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20081014,2008-10-14,Censador 5,J*** **** ******,A****** ********,H*** *********,Cessna 172,,-,09:40:00,12:00:00,,censos_aereos/tracks/CA_20081014.gpx,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20081124,2008-11-24,Censador 5,J*** **** ******,R**** *********,H*** *********,Cessna 172,,-,10:40:00,12:30:00,,censos_aereos/tracks/CA_20081124.gpx,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20081216,2008-12-16,Censador 5,J*** **** ******,-,H*** *********,Cessna 172,,-,10:30:00,13:00:00,,censos_aereos/tracks/CA_20081216.gpx,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
